word,vens-a,vens-b
ablutions,ạblütiọns,ạblü̱tiọns
ably,āblÿ,ā̱blÿ
abnegation,ẫbnẽgātiọn,ẫ̳bnẽgā̱tiọn
abner,ẫbner,ẫ̱bner
abney,ẫbneÿ,ẫ̱bnḛÿ
abnormal,ẫbnổrmạl,ẫbnổ̱rmạl
abnormalities,ẫbnổrmẫlịtïes,ẫ̳bnổrmẫ̱lịtïḛs
abnormality,ẫbnổrmẫlịtÿ,ẫ̳bnổrmẫ̱lịtÿ
abnormally,ẫbnổrmạllÿ,ẫbnổ̱rmạllÿ
abo,ầbō,ầ̱bō
abo's,ầbō's,ầ̱bō's
aboard,ạbổard,ạbổ̱a̰rd
abode,ạbōde,ạbō̱dḛ
abohalima,ẫbọhạlïmạ,ẫbọhạlï̱mạ
abolish,ạbồlísh,ạbồ̱lísh
abolished,ạbồlíshed,ạbồ̱líshed
abolishes,ạbồlíshés,ạbồ̱líshés
abolishing,ạbồlíshíng,ạbồ̱líshíng
abolition,ẫbọlítiọn,ẫ̳bọlí̱tiọn
abolitionism,ẫbọlítiọnísm,ẫ̳bọlí̱tiọní̳sm
abolitionist,ẫbọlítiọnịst,ẫ̳bọlí̱tiọnịst
abolitionists,ẫbọlítiọnịsts,ẫ̳bọlí̱tiọnịsts
abominable,ạbồmịnạble,ạbồ̱mịnạblḛ
abomination,ạbồmịnātiọn,ạbồ̳mịnā̱tiọn
abominations,ạbồmịnātiọns,ạbồ̳mịnā̱tiọns
abood,ạbood,ạbo̱od
aboodi,ạboodï,ạbo̱odï
abor,ạbổr,ạbổ̱r
aboriginal,ẫborígịnạl,ẫ̳borí̱gịnạl
aborigine,ẫborígịnế,ẫ̳borí̱gịnế
aborigines,ẫborígịnếs,ẫ̳borí̱gịnếs
aborn,ạbổrn,ạbổ̱rn
abort,ạbổrt,ạbổ̱rt
aborted,ạbổrtéd,ạbổ̱rtéd
abortifacient,ạbổrtịfāciẹnt,ạbổ̳rtịfā̱ciẹnt
abortifacients,ạbổrtịfāciẹnts,ạbổ̳rtịfā̱ciẹnts
aborting,ạbổrtíng,ạbổ̱rtíng
abortion,ạbổrtiọn,ạbổ̱rtiọn
abortionist,ạbổrtiọníst,ạbổ̱rtiọníst
abortionists,ạbổrtiọnísts,ạbổ̱rtiọnísts
abortions,ạbổrtiọns,ạbổ̱rtiọns
abortive,ạbổrtíve,ạbổ̱rtívḛ
aborts,ạbổrts,ạbổ̱rts
abott,ạbồtt,ạbồ̱tt
abou,ạbou,ạbo̱u
aboud,ầboud,ầbo̱ud
abouhalima,ầbouhầlïmạ,ầ̳bouhầlï̱mạ
abouhalima's,ầbouhầlïmạ's,ầ̳bouhầlï̱mạ's
abound,ạbound,ạbo̱und
abounded,ạboundéd,ạbo̱undéd
abounding,ạboundíng,ạbo̱undíng
abounds,ạbounds,ạbo̱unds
about,ạbout,ạbo̱ut
about's,ạbout's,ạbo̱ut'̰s
above,ạbòve,ạbò̱vḛ
above's,ạbòve's,ạbò̱vḛ's
aboveboard,ạbòvebổard,ạbò̱vḛbổ̳a̰rd
abplanalp,ẫbplạnẫlp,ẫ̱bplạnẫlp
abra,ầbrạ,ầ̱brạ
abracadabra,ẫbrạcạdẫbrạ,ẫ̳brạcạdẫ̱brạ
abrade,ẫbrāde,ẫbrā̱dḛ
abraded,ẫbrādéd,ẫbrā̱déd
abrades,ẫbrādes,ẫbrā̱dḛs
abraham,ābrạhẫm,ā̱brạhẫ̳m
abrahamian,ẫbrạhāmïạn,ẫ̳brạhā̱mïạn
abrahams,ābrạhẫms,ā̱brạhẫ̳ms
abrahamsen,ẫbrạhẫmsẹn,ẫbrạhẫ̱msẹn
abrahamson,ạbrẫhạmsọn,ạbrẫ̱hạmsọn
abram,ạbrẫm,ạbrẫ̱m
abram's,ābrạm's,ā̱brạm's
abramczyk,ầbrạmczýk,ầ̱brạmczýk
abramo,ầbrầmō,ầbrầ̱mō
abramovitz,ạbrầmọvítz,ạbrầ̱mọvítz
abramowicz,ạbrầmọwícz,ạbrầ̱mọwícz
abramowitz,ạbrầmọwítz,ạbrầ̱mọwítz
abrams,ābrạms,ā̱brạms
abrams's,ābrạms's,ā̱brạms's
abramson,ābrạmsọn,ā̱brạmsọn
abrasion,ạbrāsiọn,ạbrā̱siọn
abrasions,ạbrāsiọns,ạbrā̱siọns
abrasive,ạbrāsíve,ạbrā̱sívḛ
abrasives,ạbrāsíves,ạbrā̱sívḛs
abraxa,ạbrẫxạ,ạbrẫ̱xạ
abraxa's,ạbrẫxạ's,ạbrẫ̱xạ's
abraxas,ạbrẫxạs,ạbrẫ̱xạs
abreast,ạbreãst,ạbrḛã̱st
abrego,ầbrẽgō,ầbrẽ̱gō
abreu,ạbreü,ạbrḛü̱
abridge,ạbrídge,ạbrí̱dgḛ
abridged,ạbrídged,ạbrí̱dgḛd
abridgement,ạbrídgemẹnt,ạbrí̱dgḛmẹnt
abridges,ạbrídgẹs,ạbrí̱dgẹs
abridging,ạbrídgíng,ạbrí̱dgíng
abril,ạbríl,ạbrí̱l
abroad,ạbrổad,ạbrổ̱a̰d
abrogate,ẫbrọgāte,ẫ̱brọgā̳tḛ
abrogated,ẫbrọgātéd,ẫ̱brọgā̳téd
abrogating,ẫbrọgātíng,ẫ̱brọgā̳tíng
abrogation,ẫbrọgātiọn,ẫ̳brọgā̱tiọn
abrol,ạbrōl,ạbrō̱l
abron,ạbrồn,ạbrồ̱n
abrupt,ạbrùpt,ạbrù̱pt
abruptly,ạbrùptlÿ,ạbrù̱ptlÿ
abruptness,ạbrùptnẹss,ạbrù̱ptnẹss
abrutyn,ābrütýn,ā̱brütýn
abruzzese,ầbrüzzēsế,ầbrüzz̰ē̱sế
abruzzo,ầbrüzzō,ầbrü̱zzō
abs,ẫbs,ẫ̱bs
absalom,ẫbsạlọm,ẫ̱bsạlọm
absaraka,ẫbsầrạkạ,ẫbsầ̱rạkạ
abscam,ẫbscẫm,ẫ̱bscẫm
abscess,ẫbscẽss,ẫ̱bs̰cẽ̳ss
abscond,ẫbscồnd,ẫbscồ̱nd
absconded,ẫbscồndéd,ẫbscồ̱ndéd
absconding,ẫbscồndíng,ẫbscồ̱ndíng
absconds,ẫbscồnds,ẫbscồ̱nds
absecon,ẫbsẹcổn,ẫ̱bsẹcổn
absence,ẫbsẹnce,ẫ̱bsẹncḛ
absences,ẫbsẹncés,ẫ̱bsẹncés
absent,ẫbsẹnt,ẫ̱bsẹnt
absentee,ẫbsẹntếe,ẫ̳bsẹntế̱ḛ
absenteeism,ẫbsẹntếeísm,ẫ̳bsẹntế̱ḛísm
absentees,ẫbsẹntếes,ẫ̳bsẹntế̱ḛs
absentia,ẫbsẽntiạ,ẫbsẽ̱ntiạ
absher,ẫbsher,ẫ̱bsher
abshier,ẫbshïer,ẫ̱bshïer
abshire,ẫbshīre,ẫ̱bshī̳rḛ
absinthe,ẫbsínthe,ẫ̱bsínthḛ
abso,ẫbsō,ẫ̱bsō
absolom,ẫbsọlọm,ẫ̱bsọlọm
absolut,ẫbsọlüt,ẫ̳bsọlü̱t
absolut's,ẫbsọlüt's,ẫ̳bsọlü̱t'̰s
absolute,ẫbsọlüte,ẫ̱bsọlü̳tḛ
absolutely,ẫbsọlütelÿ,ẫ̳bsọlü̱tḛlÿ
absoluteness,ẫbsọlütenẹss,ẫ̱bsọlü̳tḛnẹss
absolutes,ẫbsọlütes,ẫ̱bsọlü̳tḛs
absolution,ẫbsọlütiọn,ẫ̳bsọlü̱tiọn
absolutism,ẫbsọlütísm,ẫ̱bsọlü̳tí̳sm
absolutist,ẫbsọlütíst,ẫbsọlü̱tíst
absolve,ẫbsồlve,ẫbsồ̱lvḛ
absolved,ẫbsồlved,ẫbsồ̱lvḛd
absolves,ẫbsồlves,ẫbsồ̱lvḛs
absolving,ẫbsồlvíng,ẫbsồ̱lvíng
absorb,ạbsổrb,ạbsổ̱rb
absorbed,ạbsổrbed,ạbsổ̱rbḛd
absorbency,ạbsổrbẹncÿ,ạbsổ̱rbẹncÿ
absorbent,ạbsổrbẹnt,ạbsổ̱rbẹnt
absorber,ạbsổrber,ạbsổ̱rber
absorbers,ạbsổrbers,ạbsổ̱rbers
absorbing,ạbsổrbíng,ạbsổ̱rbíng
absorbs,ạbsổrbs,ạbsổ̱rbs
absorption,ạbsổrptiọn,ạbsổ̱rptiọn
abstain,ẫbstain,ẫbsta̱in
abstained,ẫbstained,ẫbsta̱inḛd
abstaining,ẫbstainíng,ẫbsta̱iníng
abstention,ẫbstẽntiọn,ẫbstẽ̱ntiọn
abstentions,ẫbstẽntiọns,ẫbstẽ̱ntiọns
abstinence,ẫbstịnẹnce,ẫ̱bstịnẹncḛ
abstinent,ẫbstịnẹnt,ẫ̱bstịnẹnt
abston,ẫbstọn,ẫ̱bstọn
abstract,ẫbstrẫct,ẫ̱bstrẫ̳ct
abstracted,ẫbstrẫctéd,ẫ̱bstrẫ̳ctéd
abstraction,ẫbstrẫctiọn,ẫbstrẫ̱ctiọn
abstractions,ẫbstrẫctiọns,ẫbstrẫ̱ctiọns
abstracts,ẫbstrẫcts,ẫ̱bstrẫcts
abstruse,ạbstrüse,ạbstrü̱sḛ
absurd,ạbsurd,ạbsu̱rd
absurdist,ạbsurdíst,ạbsu̱rdíst
absurdities,ạbsurdịtïes,ạbsu̱rdịtïḛs
absurdity,ạbsurdịtÿ,ạbsu̱rdịtÿ
absurdly,ạbsurdlÿ,ạbsu̱rdlÿ
abt,ābt,ā̱ḇṯ
abts,ābts,ā̱ḇṯs̱
abu,ẫbü,ẫ̱bü
abudrahm,ạbùdrạhm,ạbù̱drạh̰m
abuellah,ạbüẽllạh,ạbüẽ̱llạh̰
abuellah's,ạbüẽllạh's,ạbüẽ̱llạh̰'s
abuladze,ẫbulẫdzế,ẫ̳bulẫ̱dzế
abundance,ạbùndạnce,ạbù̱ndạncḛ
abundant,ạbùndạnt,ạbù̱ndạnt
abundantly,ạbùndạntlÿ,ạbù̱ndạntlÿ
aburto,ạbŭrtō,ạbŭ̱rtō̳
aburto's,ạbŭrtō's,ạbŭ̱rtō̳'s
abuse,ạbuse,ạbu̱sḛ
abused,ạbused,ạbu̱sḛd
abuser,ạbuser,ạbu̱ser
abusers,ạbusers,ạbu̱sers
abuses,ạbusés,ạbu̱sés
abusing,ạbusíng,ạbu̱síng
abusive,ạbusíve,ạbu̱sívḛ
abut,ạbùt,ạbù̱t
abuts,ạbùts,ạbù̱ts
abutted,ạbùttéd,ạbù̱ttéd
abutting,ạbùttíng,ạbù̱ttíng
abuzz,ạbùzz,ạbù̱zz
abysmal,ạbýsmạl,ạbý̱smạl
abysmally,ạbýsmạllÿ,ạbý̱smạllÿ
abyss,ạbýss,ạbý̱ss
abyssinia,ẫbyssínïạ,ẫbyssí̱nï̳ạ
abyssinian,ẫbyssínïạn,ẫbyssí̱nï̳ạn
abzug,ẫbzŭg,ẫ̱bzŭ̳g
ac,āc,ā̱c̱
aca,ẫcạ,ẫ̱cạ
acacia,ạcāciạ,ạcā̱ciạ
academe,ẫcạdếme,ẫ̱cạdế̳mḛ
academia,ẫcạdếmïạ,ẫ̳cạdế̱mïạ
academic,ẫcạdẽmíc,ẫ̳cạdẽ̱míc
academically,ẫcạdẽmícallÿ,ẫ̳cạdẽ̱míca̰llÿ
academician,ẫcạdẹmíciạn,ẫ̳cạdẹmí̱ciạn
academicians,ạcẫdẹmíciạns,ạcẫ̳dẹmí̱ciạns
academics,ẫcạdẽmícs,ẫ̳cạdẽ̱mícs
academies,ạcẫdẹmïes,ạcẫ̱dẹmïḛs
academy,ạcẫdẹmÿ,ạcẫ̱dẹmÿ
academy's,ạcẫdẹmÿ's,ạcẫ̱dẹmÿ's
acadia,ạcādïạ,ạcā̱dïạ
acampo,ạcầmpō,ạcầ̱mpō
acampora,ạcẫmporạ,ạcẫ̱mporạ
acampsia,ạcẫmpsïạ,ạcẫ̱mpsïạ
acantha,ầcầnthạ,ầcầ̱nthạ
acapulco,ẫcạpŭlcō,ẫ̳cạpŭ̱lcō
acary,ẫcarÿ,ẫ̱carÿ
acc,acc,a̳c̳c̱
accardi,ầccầrdï,ầccầ̱rdï
accardo,ầccầrdō,ầccầ̱rdō
accede,ẫccếde,ẫccế̱dḛ
acceded,ẫccếdéd,ẫccế̱déd
accedes,ẫccếdes,ẫccế̱dḛs
acceding,ẫccếdíng,ẫccế̱díng
accel,ạccẽl,ạccẽ̱l
accelerant,ẫccẽlerạnt,ẫccẽ̱lerạnt
accelerants,ẫccẽlerạnts,ẫccẽ̱lerạnts
accelerate,ẫccẽlerāte,ẫccẽ̱lerā̳tḛ
accelerated,ẫccẽlerātéd,ẫccẽ̱lerā̳téd
accelerates,ẫccẽlerātes,ẫccẽ̱lerā̳tḛs
accelerating,ẫccẽlerātíng,ẫccẽ̱lerā̳tíng
acceleration,ẫccẽlerātiọn,ẫ̳ccẽ̳lerā̱tiọn
accelerator,ẫccẽlerātor,ẫccẽ̱lerā̳tor
accelerators,ẫccẽlerātors,ẫccẽ̱lerā̳tors
accelerometer,ẫccẽlerồmẹter,ẫccẽ̳lerồ̱mẹter
accelerometers,ẫccẽlerồmẹters,ẫccẽ̳lerồ̱mẹters
accent,ẫccẽnt,ẫ̱ccẽ̳nt
accented,ẫccẽntéd,ẫ̱ccẽntéd
accenting,ẫccẽntíng,ẫ̱ccẽntíng
accents,ẫccẽnts,ẫ̱ccẽnts
accentuate,ẫccẽntüāte,ẫccẽ̱ntüātḛ
accentuated,ẫccẽntüātéd,ẫccẽ̱ntüā̳téd
accentuates,ẫccẽntüātes,ẫccẽ̱ntüā̳tḛs
accentuating,ẫccẽntüātíng,ẫccẽ̱ntüā̳tíng
accenture,ẫccẽnture,ẫccẽ̱nturḛ
accept,ạccẽpt,ạccẽ̱pt
acceptability,ạccẽptạbílịtÿ,ạccẽ̳ptạbí̱lịtÿ
acceptable,ạccẽptạble,ạccẽ̱ptạblḛ
acceptably,ạccẽptạblÿ,ạccẽ̱ptạblÿ
acceptance,ạccẽptạnce,ạccẽ̱ptạncḛ
acceptances,ẫccẽptạncés,ẫccẽ̱ptạncés
accepted,ạccẽptéd,ạccẽ̱ptéd
accepting,ạccẽptíng,ạccẽ̱ptíng
accepts,ẫccẽpts,ẫccẽ̱pts
access,ẫccẽss,ẫ̱ccẽ̳ss
accessed,ẫccẽssed,ẫ̱ccẽ̳ssed
accessibility,ẫccẽssịbílítÿ,ẫ̳ccẽssịbí̱lítÿ
accessible,ẫccẽssịble,ẫccẽ̱ssịblḛ
accessing,ẫccẽssíng,ẫ̱ccẽ̳ssíng
accession,ạccẽssiọn,ạccẽ̱s̰siọn
accessories,ẫccẽssorïes,ẫccẽ̱ssorïḛs
accessorize,ẫccẽssorīze,ẫccẽ̱ssorī̳zḛ
accessorized,ẫccẽssorīzed,ẫccẽ̱ssorī̳zḛd
accessory,ẫccẽssorÿ,ẫccẽ̱ssorÿ
accetta,ầccẽttạ,ầccẽ̱ttạ
accident,ẫccịdẹnt,ẫ̱ccịdẹnt
accident's,ẫccịdẹnt's,ẫ̱ccịdẹnt'̰s
accidental,ẫccịdẽntạl,ẫ̳ccịdẽ̱nt̰ạl
accidentally,ẫccịdẽntạllÿ,ẫ̳ccịdẽ̱nt̰ạllÿ
accidently,ẫccịdẹntlÿ,ẫ̱ccịdẹntlÿ
accidents,ẫccịdẹnts,ẫ̱ccịdẹnts
accion,ẫccïọn,ẫ̱ccïọn
accival,accívầl,a̱ccívầ̳l
acclaim,ạcclaim,ạccla̱im
acclaim's,ạcclaim's,ạccla̱im's
acclaimed,ạcclaimed,ạccla̱imḛd
acclaiming,ạcclaimíng,ạccla̱imíng
acclaims,ạcclaims,ạccla̱ims
acclamation,ẫcclạmātiọn,ẫ̳cclạmā̱tiọn
acclimate,ẫcclịmāte,ẫ̱cclịmā̳tḛ
acclimated,ẫcclịmātéd,ẫ̱cclịmā̳téd
acclimation,ẫcclịmātiọn,ẫ̳cclịmā̱tiọn
acco,ẫccō,ẫ̱ccō
accokeek,ẫccōkếek,ẫ̱ccōkếḛk
accola,ầccōlạ,ầccō̱lạ
accolade,ẫccọlāde,ẫ̱ccọlā̳dḛ
accolades,ẫccọlādes,ẫ̱ccọlā̳dḛs
accomando,ầccōmầndō,ầccōmầ̱ndō
accommodate,ạccồmmọdāte,ạccồ̱mmọdā̳tḛ
accommodated,ạccồmmọdātéd,ạccồ̱mmọdā̳téd
accommodates,ạccồmmọdātes,ạccồ̱mmọdā̳tḛs
accommodating,ạccồmmọdātíng,ạccồ̱mmọdā̳tíng
accommodation,ạccồmmọdātiọn,ạccồ̳mmọdā̱tiọn
