word,vens-a,vens-b,vens-c
abhorrent,ẫbhổrrẹnt,ẫbhổrr̰ẹnt,ẫbhổ̱rr̰ẹnt
abhors,ạbhổrs,ạbhổrs,ạbhổ̱rs
abiam,ābïạm,ābïạm,ā̱bïạm
abiam's,ābïạm's,ābïạm's,ā̱bïạm's
abid,ābíd,ābíd,ā̱bíd
abide,ạbīde,ạbīdḛ,ạbī̱dḛ
abided,ạbīdéd,ạbīdéd,ạbī̱déd
abides,ạbīdes,ạbīdḛs,ạbī̱dḛs
abiding,ạbīdíng,ạbīdíng,ạbī̱díng
abidjan,ẫbídjần,ẫbíd̰jần,ẫbíd̰jầ̱n
abie,ẫbïe,ẫbïḛ,ẫ̱bïḛ
abigail,ẫbịgail,ẫbịgail,ẫ̱bịga̳il
abila,ầbïlạ,ầbïlạ,ầbï̱lạ
abilene,ẫbílếne,ẫbílếnḛ,ẫ̱bílế̳nḛ
abilities,ạbílịtïes,ạbílịtïḛs,ạbí̱lịtï̳ḛs
ability,ạbílịtÿ,ạbílịtÿ,ạbí̱lịtÿ̳
abimael,ẫbímāel,ẫbímāḛl,ẫ̳bímā̱ḛl
abimaels,ẫbímāels,ẫbímāḛls,ẫ̳bímā̱ḛls
abingdon,ẫbíngdọn,ẫbíngdọn,ẫ̱bíngdọn
abington,ẫbíngtọn,ẫbíngtọn,ẫ̱bíngtọn
abio,ầbïō,ầbïō,ầ̱bïō
abiola,ầbïōlạ,ầbïōlạ,ầ̳bïō̱lạ
abiola's,ầbïōlạ's,ầbïōlạ's,ầ̳bïō̱lạ's
abiomed,ābïọmẽd,ābïọmẽd,ābï̱ọmẽd
abiquiu,ạbíquïü,ạbíquïü,ạbí̱quïü
abitibi,ẫbítïbï,ẫbítïbï,ẫ̳bítï̱bï
abitz,ẫbítz,ẫbítz,ẫ̱bítz
abject,ẫbjẽct,ẫbjẽct,ẫ̱bjẽct
abkhazia,ẫbkhẫzïạ,ẫbkh̰ẫzïạ,ẫbkh̰ẫ̱zïạ
abkhazian,ẫbkhẫzïạn,ẫbkh̰ẫzïạn,ẫbkh̰ẫ̱zïạn
abkhazians,ẫbkhẫzïạns,ẫbkh̰ẫzïạns,ẫbkh̰ẫ̱zïạns
ablate,àblāte,àblātḛ,à̳blā̱tḛ
ablation,àblātiọn,àblātiọn,à̳blā̱tiọn
ablaze,ạblāze,ạblāzḛ,ạblā̱zḛ
able,āble,āblḛ,ā̱blḛ
able-bodied,āble-bồdïed,āblḛ-̰bồdïḛd,ā̱blḛ-̰bồ̱dïḛd
abled,ābled,āblḛd,ā̱blḛd
abler,ābler,ābler,ā̱bler
ables,ābles,āblḛs,ā̱blḛs
ablest,āblẹst,āblẹst,ā̱blẹst
abloom,ạbloom,ạbloom,ạblo̱om
ablution,ạblütiọn,ạblütiọn,ạblü̱tiọn
ablutions,ạblütiọns,ạblütiọns,ạblü̱tiọns
ably,āblÿ,āblÿ,ā̱blÿ
abnegation,ẫbnẽgātiọn,ẫbnẽgātiọn,ẫ̳bnẽgā̱tiọn
abner,ẫbner,ẫbner,ẫ̱bner
abney,ẫbneÿ,ẫbnḛÿ,ẫ̱bnḛÿ
abnormal,ẫbnổrmạl,ẫbnổrmạl,ẫbnổ̱rmạl
abnormalities,ẫbnổrmẫlịtïes,ẫbnổrmẫlịtïḛs,ẫ̳bnổrmẫ̱lịtïḛs
abnormality,ẫbnổrmẫlịtÿ,ẫbnổrmẫlịtÿ,ẫ̳bnổrmẫ̱lịtÿ
abnormally,ẫbnổrmạllÿ,ẫbnổrmạllÿ,ẫbnổ̱rmạllÿ
abo,ầbō,ầbō,ầ̱bō
abo's,ầbō's,ầbō's,ầ̱bō's
aboard,ạbổard,ạbổa̰rd,ạbổ̱a̰rd
abode,ạbōde,ạbōdḛ,ạbō̱dḛ
abohalima,ẫbọhạlïmạ,ẫbọhạlïmạ,ẫbọhạlï̱mạ
abolish,ạbồlísh,ạbồlísh,ạbồ̱lísh
abolished,ạbồlíshed,ạbồlíshed,ạbồ̱líshed
abolishes,ạbồlíshés,ạbồlíshés,ạbồ̱líshés
abolishing,ạbồlíshíng,ạbồlíshíng,ạbồ̱líshíng
abolition,ẫbọlítiọn,ẫbọlítiọn,ẫ̳bọlí̱tiọn
abolitionism,ẫbọlítiọnísm,ẫbọlítiọnísm,ẫ̳bọlí̱tiọní̳sm
abolitionist,ẫbọlítiọnịst,ẫbọlítiọnịst,ẫ̳bọlí̱tiọnịst
abolitionists,ẫbọlítiọnịsts,ẫbọlítiọnịsts,ẫ̳bọlí̱tiọnịsts
abominable,ạbồmịnạble,ạbồmịnạblḛ,ạbồ̱mịnạblḛ
abomination,ạbồmịnātiọn,ạbồmịnātiọn,ạbồ̳mịnā̱tiọn
abominations,ạbồmịnātiọns,ạbồmịnātiọns,ạbồ̳mịnā̱tiọns
abood,ạbood,ạbood,ạbo̱od
aboodi,ạboodï,ạboodï,ạbo̱odï
abor,ạbổr,ạbổr,ạbổ̱r
aboriginal,ẫborígịnạl,ẫborígịnạl,ẫ̳borí̱gịnạl
aborigine,ẫborígịnế,ẫborígịnế,ẫ̳borí̱gịnế
aborigines,ẫborígịnếs,ẫborígịnếs,ẫ̳borí̱gịnếs
aborn,ạbổrn,ạbổrn,ạbổ̱rn
abort,ạbổrt,ạbổrt,ạbổ̱rt
aborted,ạbổrtéd,ạbổrtéd,ạbổ̱rtéd
abortifacient,ạbổrtịfāciẹnt,ạbổrtịfāciẹnt,ạbổ̳rtịfā̱ciẹnt
abortifacients,ạbổrtịfāciẹnts,ạbổrtịfāciẹnts,ạbổ̳rtịfā̱ciẹnts
aborting,ạbổrtíng,ạbổrtíng,ạbổ̱rtíng
abortion,ạbổrtiọn,ạbổrtiọn,ạbổ̱rtiọn
abortionist,ạbổrtiọníst,ạbổrtiọníst,ạbổ̱rtiọníst
abortionists,ạbổrtiọnísts,ạbổrtiọnísts,ạbổ̱rtiọnísts
abortions,ạbổrtiọns,ạbổrtiọns,ạbổ̱rtiọns
abortive,ạbổrtíve,ạbổrtívḛ,ạbổ̱rtívḛ
aborts,ạbổrts,ạbổrts,ạbổ̱rts
abott,ạbồtt,ạbồtt,ạbồ̱tt
abou,ạbou,ạbou,ạbo̱u
aboud,ầboud,ầboud,ầbo̱ud
abouhalima,ầbouhầlïmạ,ầbouhầlïmạ,ầ̳bouhầlï̱mạ
abouhalima's,ầbouhầlïmạ's,ầbouhầlïmạ's,ầ̳bouhầlï̱mạ's
abound,ạbound,ạbound,ạbo̱und
abounded,ạboundéd,ạboundéd,ạbo̱undéd
abounding,ạboundíng,ạboundíng,ạbo̱undíng
abounds,ạbounds,ạbounds,ạbo̱unds
about,ạbout,ạbout,ạbo̱ut
about's,ạbout's,ạbout'̰s,ạbo̱ut'̰s
above,ạbòve,ạbòvḛ,ạbò̱vḛ
above's,ạbòve's,ạbòvḛ's,ạbò̱vḛ's
aboveboard,ạbòvebổard,ạbòvḛbổa̰rd,ạbò̱vḛbổ̳a̰rd
abplanalp,ẫbplạnẫlp,ẫbplạnẫlp,ẫ̱bplạnẫlp
abra,ầbrạ,ầbrạ,ầ̱brạ
abracadabra,ẫbrạcạdẫbrạ,ẫbrạcạdẫbrạ,ẫ̳brạcạdẫ̱brạ
abrade,ẫbrāde,ẫbrādḛ,ẫbrā̱dḛ
abraded,ẫbrādéd,ẫbrādéd,ẫbrā̱déd
abrades,ẫbrādes,ẫbrādḛs,ẫbrā̱dḛs
abraham,ābrạhẫm,ābrạhẫm,ā̱brạhẫ̳m
abrahamian,ẫbrạhāmïạn,ẫbrạhāmïạn,ẫ̳brạhā̱mïạn
abrahams,ābrạhẫms,ābrạhẫms,ā̱brạhẫ̳ms
abrahamsen,ẫbrạhẫmsẹn,ẫbrạhẫmsẹn,ẫbrạhẫ̱msẹn
abrahamson,ạbrẫhạmsọn,ạbrẫhạmsọn,ạbrẫ̱hạmsọn
abram,ạbrẫm,ạbrẫm,ạbrẫ̱m
abram's,ābrạm's,ābrạm's,ā̱brạm's
abramczyk,ầbrạmczýk,ầbrạmczýk,ầ̱brạmczýk
abramo,ầbrầmō,ầbrầmō,ầbrầ̱mō
abramovitz,ạbrầmọvítz,ạbrầmọvítz,ạbrầ̱mọvítz
abramowicz,ạbrầmọwícz,ạbrầmọwícz,ạbrầ̱mọwícz
abramowitz,ạbrầmọwítz,ạbrầmọwítz,ạbrầ̱mọwítz
abrams,ābrạms,ābrạms,ā̱brạms
abrams's,ābrạms's,ābrạms's,ā̱brạms's
abramson,ābrạmsọn,ābrạmsọn,ā̱brạmsọn
abrasion,ạbrāsiọn,ạbrāsiọn,ạbrā̱siọn
abrasions,ạbrāsiọns,ạbrāsiọns,ạbrā̱siọns
abrasive,ạbrāsíve,ạbrāsívḛ,ạbrā̱sívḛ
abrasives,ạbrāsíves,ạbrāsívḛs,ạbrā̱sívḛs
abraxa,ạbrẫxạ,ạbrẫxạ,ạbrẫ̱xạ
abraxa's,ạbrẫxạ's,ạbrẫxạ's,ạbrẫ̱xạ's
abraxas,ạbrẫxạs,ạbrẫxạs,ạbrẫ̱xạs
abreast,ạbreãst,ạbrḛãst,ạbrḛã̱st
abrego,ầbrẽgō,ầbrẽgō,ầbrẽ̱gō
abreu,ạbreü,ạbrḛü,ạbrḛü̱
abridge,ạbrídge,ạbrídgḛ,ạbrí̱dgḛ
abridged,ạbrídged,ạbrídgḛd,ạbrí̱dgḛd
abridgement,ạbrídgemẹnt,ạbrídgḛmẹnt,ạbrí̱dgḛmẹnt
abridges,ạbrídgẹs,ạbrídgẹs,ạbrí̱dgẹs
abridging,ạbrídgíng,ạbrídgíng,ạbrí̱dgíng
abril,ạbríl,ạbríl,ạbrí̱l
abroad,ạbrổad,ạbrổa̰d,ạbrổ̱a̰d
abrogate,ẫbrọgāte,ẫbrọgātḛ,ẫ̱brọgā̳tḛ
abrogated,ẫbrọgātéd,ẫbrọgātéd,ẫ̱brọgā̳téd
abrogating,ẫbrọgātíng,ẫbrọgātíng,ẫ̱brọgā̳tíng
abrogation,ẫbrọgātiọn,ẫbrọgātiọn,ẫ̳brọgā̱tiọn
abrol,ạbrōl,ạbrōl,ạbrō̱l
abron,ạbrồn,ạbrồn,ạbrồ̱n
abrupt,ạbrùpt,ạbrùpt,ạbrù̱pt
abruptly,ạbrùptlÿ,ạbrùptlÿ,ạbrù̱ptlÿ
abruptness,ạbrùptnẹss,ạbrùptnẹss,ạbrù̱ptnẹss
abrutyn,ābrütýn,ābrütýn,ā̱brütýn
abruzzese,ầbrüzzēsế,ầbrüzz̰ēsế,ầbrüzz̰ē̱sế
abruzzo,ầbrüzzō,ầbrüzzō,ầbrü̱zzō
abs,ẫbs,ẫbs,ẫ̱bs
absalom,ẫbsạlọm,ẫbsạlọm,ẫ̱bsạlọm
absaraka,ẫbsầrạkạ,ẫbsầrạkạ,ẫbsầ̱rạkạ
abscam,ẫbscẫm,ẫbscẫm,ẫ̱bscẫm
abscess,ẫbscẽss,ẫbs̰cẽss,ẫ̱bs̰cẽ̳ss
abscond,ẫbscồnd,ẫbscồnd,ẫbscồ̱nd
absconded,ẫbscồndéd,ẫbscồndéd,ẫbscồ̱ndéd
absconding,ẫbscồndíng,ẫbscồndíng,ẫbscồ̱ndíng
absconds,ẫbscồnds,ẫbscồnds,ẫbscồ̱nds
absecon,ẫbsẹcổn,ẫbsẹcổn,ẫ̱bsẹcổn
absence,ẫbsẹnce,ẫbsẹncḛ,ẫ̱bsẹncḛ
absences,ẫbsẹncés,ẫbsẹncés,ẫ̱bsẹncés
absent,ẫbsẹnt,ẫbsẹnt,ẫ̱bsẹnt
absentee,ẫbsẹntếe,ẫbsẹntếḛ,ẫ̳bsẹntế̱ḛ
absenteeism,ẫbsẹntếeísm,ẫbsẹntếḛísm,ẫ̳bsẹntế̱ḛísm
absentees,ẫbsẹntếes,ẫbsẹntếḛs,ẫ̳bsẹntế̱ḛs
absentia,ẫbsẽntiạ,ẫbsẽntiạ,ẫbsẽ̱ntiạ
absher,ẫbsher,ẫbsher,ẫ̱bsher
abshier,ẫbshïer,ẫbshïer,ẫ̱bshïer
abshire,ẫbshīre,ẫbshīrḛ,ẫ̱bshī̳rḛ
absinthe,ẫbsínthe,ẫbsínthḛ,ẫ̱bsínthḛ
abso,ẫbsō,ẫbsō,ẫ̱bsō
absolom,ẫbsọlọm,ẫbsọlọm,ẫ̱bsọlọm
absolut,ẫbsọlüt,ẫbsọlüt,ẫ̳bsọlü̱t
absolut's,ẫbsọlüt's,ẫbsọlüt'̰s,ẫ̳bsọlü̱t'̰s
absolute,ẫbsọlüte,ẫbsọlütḛ,ẫ̱bsọlü̳tḛ
absolutely,ẫbsọlütelÿ,ẫbsọlütḛlÿ,ẫ̳bsọlü̱tḛlÿ
absoluteness,ẫbsọlütenẹss,ẫbsọlütḛnẹss,ẫ̱bsọlü̳tḛnẹss
absolutes,ẫbsọlütes,ẫbsọlütḛs,ẫ̱bsọlü̳tḛs
absolution,ẫbsọlütiọn,ẫbsọlütiọn,ẫ̳bsọlü̱tiọn
absolutism,ẫbsọlütísm,ẫbsọlütísm,ẫ̱bsọlü̳tí̳sm
absolutist,ẫbsọlütíst,ẫbsọlütíst,ẫbsọlü̱tíst
absolve,ẫbsồlve,ẫbsồlvḛ,ẫbsồ̱lvḛ
absolved,ẫbsồlved,ẫbsồlvḛd,ẫbsồ̱lvḛd
absolves,ẫbsồlves,ẫbsồlvḛs,ẫbsồ̱lvḛs
absolving,ẫbsồlvíng,ẫbsồlvíng,ẫbsồ̱lvíng
absorb,ạbsổrb,ạbsổrb,ạbsổ̱rb
absorbed,ạbsổrbed,ạbsổrbḛd,ạbsổ̱rbḛd
absorbency,ạbsổrbẹncÿ,ạbsổrbẹncÿ,ạbsổ̱rbẹncÿ
absorbent,ạbsổrbẹnt,ạbsổrbẹnt,ạbsổ̱rbẹnt
absorber,ạbsổrber,ạbsổrber,ạbsổ̱rber
absorbers,ạbsổrbers,ạbsổrbers,ạbsổ̱rbers
absorbing,ạbsổrbíng,ạbsổrbíng,ạbsổ̱rbíng
absorbs,ạbsổrbs,ạbsổrbs,ạbsổ̱rbs
absorption,ạbsổrptiọn,ạbsổrptiọn,ạbsổ̱rptiọn
abstain,ẫbstain,ẫbstain,ẫbsta̱in
abstained,ẫbstained,ẫbstainḛd,ẫbsta̱inḛd
abstaining,ẫbstainíng,ẫbstainíng,ẫbsta̱iníng
abstention,ẫbstẽntiọn,ẫbstẽntiọn,ẫbstẽ̱ntiọn
abstentions,ẫbstẽntiọns,ẫbstẽntiọns,ẫbstẽ̱ntiọns
abstinence,ẫbstịnẹnce,ẫbstịnẹncḛ,ẫ̱bstịnẹncḛ
abstinent,ẫbstịnẹnt,ẫbstịnẹnt,ẫ̱bstịnẹnt
abston,ẫbstọn,ẫbstọn,ẫ̱bstọn
abstract,ẫbstrẫct,ẫbstrẫct,ẫ̱bstrẫ̳ct
abstracted,ẫbstrẫctéd,ẫbstrẫctéd,ẫ̱bstrẫ̳ctéd
abstraction,ẫbstrẫctiọn,ẫbstrẫctiọn,ẫbstrẫ̱ctiọn
abstractions,ẫbstrẫctiọns,ẫbstrẫctiọns,ẫbstrẫ̱ctiọns
abstracts,ẫbstrẫcts,ẫbstrẫcts,ẫ̱bstrẫcts
abstruse,ạbstrüse,ạbstrüsḛ,ạbstrü̱sḛ
absurd,ạbsurd,ạbsurd,ạbsu̱rd
